client_id2,Region,Gender,Race,Ethnicty,question,response,qnum,order_vuln,order_vuln.norm
924,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
87f,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
5b3,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
e17,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
48f,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
342,R07,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
ab2,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
018,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
456,R05,Male,Indigenous,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
498,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
ca5,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
734,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
e4a,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
331,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
410,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
773,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
6cd,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
249,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
4a2,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
2c8,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
b16,R07,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
8d5,R07,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
850,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
c07,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
257,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
39b,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
4ed,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
554,R07,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
68e,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
6b7,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
687,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
307,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
1e0,R05,Female,Asian,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
c72,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
b53,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
d6b,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
b60,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
cd5,R07,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
bd4,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
791,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
9f5,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
8de,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
94e,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
0f8,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
b5a,R07,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
08a,R05,Female,White,Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
a9b,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
a0b,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
17a,R05,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
5d0,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
8c8,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,Less than 3 months,1,0,0
dbb,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
574,R07,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
b35,R07,Female,Multiple Races,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
969,R07,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
16b,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
ecb,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
6bb,R07,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,12 to 35 months (1-2 years),1,3,0.75
60f,R05,Male,Black,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
480,R05,Male,White,Non-Hispanic,How long has it been since you lived in your own place?,36 months (3 years) or more,1,4,1
edd,R07,Female,White,Non-Hispanic,How long has it been since you lived in your own place?,6 to 11 months,1,2,0.5
e3c,R05,Female,Black,Non-Hispanic,How long has it been since you lived in your own place?,3 to 5 months,1,1,0.25
