score_fingerprint,NA,Asian,Black,Multiple Races,Native American,White
1|2|2|1|1|1|2|2|1|2|2|1|2|1|2|1|1|2,18,17.866666666666667,16.962962962962962,17.966666666666665,17.166666666666668,18.086928104575165
1|2|2|2|2|2|2|2|1|2|2|1|1|1|1|2|1|2,19.5,20.03333333333333,18.324074074074073,19.466666666666665,18.916666666666664,19.60653594771242
1|1|1|1|1|1|2|2|1|2|1|2|1|2|1|2|2|2,16.975,17.5,16.012962962962963,17.266666666666666,16.616666666666667,17.032026143790848
1|2|2|2|2|2|1|1|1|2|1|2|1|2|1|2|1|1,18.125,18.7,17.12962962962963,16.966666666666665,17.666666666666664,18.194771241830065
1|2|1|2|1|1|1|2|2|2|2|2|2|1|1|1|2|1,18.625,18.2,17.15740740740741,17.966666666666665,17.416666666666668,18.341830065359478
2|1|1|2|1|1|2|2|1|1|2|2|2|1|2|2|1|1,18.425,18.633333333333333,17.228703703703705,17.833333333333332,17.433333333333334,18.48954248366013
2|1|1|1|1|1|1|2|1|1|2|2|2|1|2|2|1|2,17.175,17.3,16.312037037037037,16.833333333333332,16.433333333333334,17.273856209150328
1|2|1|1|2|1|1|2|1|2|2|2|1|2|2|2|1|1,17.125,17.7,16.574074074074073,16.466666666666665,16.416666666666668,17.6359477124183
2|1|1|2|2|2|1|1|2|2|1|1|1|1|2|1|2|2,18.55,18.466666666666665,17.15462962962963,18.166666666666668,18.266666666666666,18.081045751633987
1|1|1|1|1|2|1|1|2|2|1|2|1|2|1|1|2|1,16.35,16.333333333333336,15.068518518518518,15.766666666666667,16.116666666666667,15.99281045751634
1|1|2|2|1|1|2|2|2|1|2|1|1|1|1|1|2|1,17.975,18,16.44814814814815,18.433333333333334,17.28333333333333,17.666013071895424
1|1|2|2|1|1|2|2|1|1|2|1|1|2|1|1|2|2,18.1,18.333333333333336,16.83703703703704,18.933333333333334,17.53333333333333,17.9797385620915
1|1|1|2|2|1|2|1|2|2|2|2|2|1|2|2|2|2,20.6,20,18.957407407407405,20.766666666666666,19.866666666666667,20.081045751633987
2|2|2|2|1|1|2|2|2|1|1|1|1|1|1|2|2|1,18.825,19.5,17.525925925925925,18.533333333333335,17.983333333333334,18.769934640522877
2|2|1|2|1|2|1|1|2|2|2|1|1|2|2|2|2|1,19.575,19.666666666666668,18.285185185185185,18.866666666666667,18.816666666666666,19.449673202614377
5|1|1|9|5|2|7|1|2|9|3|4|3|8|4|6|4|10,55.4,55.53333333333333,52.15833333333333,57.7,54.05,55.18235294117647
6|7|8|3|9|2|4|9|1|9|5|3|4|6|5|4|4|3,59.625,61.7,56.625,55.8,54.25,60.590196078431376
7|1|6|10|5|7|10|1|4|3|2|10|2|8|6|5|1|4,64.55,67.8,61.16388888888889,63,65.85,65.70196078431373
